t,M
0,-0.0092
1,0.0058
2,-0.0134
3,-0.0234
4,-0.0138
5,-0.0158
6,-0.0132
7,-0.0074
8,-0.0248
9,-0.0342
10,-0.0094
11,-0.0142
12,-0.0238
13,-0.036
14,-0.0418
15,-0.0332
16,-0.0262
17,-0.0308
18,-0.0232
19,-0.0258
20,-0.0006
21,0.0052
22,0.0172
23,0.0168
24,0.0048
25,0.0072
26,0.008
27,-0.0026
28,-0.0012
29,-0.0108
30,-0.011
31,-0.0202
32,-0.0328
33,-0.0112
34,-0.0212
35,-0.0148
36,-0.025
37,-0.0266
38,-0.0396
39,-0.0268
40,-0.0316
41,-0.021
42,-0.0132
43,-0.0136
44,-0.0122
45,-0.014
46,-0.0344
47,-0.0336
48,-0.042
49,-0.0414
50,-0.0122
51,-0.0154
52,-0.0234
53,-0.0174
54,-0.0076
55,0.0032
56,0.0006
57,0.0186
58,0.0078
59,0.0062
60,-0.0096
61,-0.017
62,-0.0162
63,-0.0112
64,-0.013
65,-0.0026
66,0.0028
67,-0.006
68,-0.0074
69,-0.004
70,0.0038
71,-0.0052
72,-0.0028
73,0.0116
74,0.018
75,0.0138
76,0.022
77,0.0366
78,0.0574
79,0.0606
80,0.0438
81,0.0328
82,-0.0016
83,0.0214
84,0.017
85,0.0146
86,0.0258
87,0.0134
88,0.0112
89,0.0256
90,0.03
91,0.0234
92,0.0218
93,0.0242
94,0.0276
95,0.0018
96,-0.008
97,-0.006
98,0.0164
99,0.0082
100,-0.0062
101,-0.0084
102,-0.0236
103,-0.0318
104,-0.0156
105,-0.0088
106,-0.019
107,-0.0122
108,-0.013
109,-0.0196
110,0.0064
111,0.0002
112,-0.0014
113,-0.0142
114,-0.0018
115,0.0022
116,-0.0002
117,-0.0148
118,-0.0112
119,-0.0162
120,-0.0078
121,-0.0062
122,-0.011
123,0.0004
124,-0.0146
125,-0.0074
126,0.0036
127,0.002
128,0.0142
129,0.0316
130,0.0264
131,0.0108
132,-0.0034
133,0.0086
134,0.0228
135,0.0154
136,0.0274
137,0.0212
138,0.016
139,0.0232
140,0.0144
141,0.0032
142,-0.0032
143,-0.0122
144,-0.0024
145,0.0098
146,0.0038
147,-0.0054
148,-0.0026
149,-0.0182
150,-0.0212
151,-0.0106
152,-0.0166
153,-0.0214
154,-0.0092
155,-0.0114
156,-0.0374
157,-0.0206
158,-0.0256
159,-0.008
160,-0.021
161,-0.0074
162,-0.003
163,0.0068
164,0.015
165,0.0042
166,0.0136
167,0.0234
168,0.0352
169,0.0312
170,0.0234
171,0.0234
172,0.0136
173,0
174,0.0156
175,0.0264
176,0.024
177,0.0368
178,0.0388
179,0.0356
180,0.0392
181,0.045
182,0.055
183,0.0368
184,0.0312
185,0.0326
186,0.017
187,0.0246
188,0.0294
189,0.032
190,0.033
191,0.035
192,0.02
193,0.0128
194,0.0006
195,0.0136
196,-0.0068
197,0.003
198,0.0212
199,0.0236
200,0.0268
201,0.0104
202,-0.0028
203,-0.012
204,-0.004
205,-0.0064
206,0.0002
207,-0.0032
208,0.0078
209,0.0124
210,0.005
211,0.0302
212,0.0596
213,0.0422
214,0.0324
215,0.026
216,0.0302
217,0.0428
218,0.0286
219,0.0108
220,0.03
221,0.0004
222,0.0052
223,-0.0102
224,-0.013
225,0.0018
226,-0.0018
227,0.0106
228,0.021
229,0.0262
230,0.0298
231,0.0228
232,0.0262
233,0.0338
234,0.0272
235,0.0208
236,0.0082
237,0.0184
238,0.0228
239,0.029
240,0.0252
241,-0.0044
