t,M
0,0.0014
1,-0.0126
2,-0.018
3,-0.0184
4,-0.0316
5,-0.0426
6,-0.0386
7,-0.022
8,-0.0264
9,-0.0412
10,-0.0376
11,-0.0264
12,-0.0248
13,-0.0394
14,-0.0524
15,-0.0494
16,-0.0638
17,-0.0704
18,-0.0766
19,-0.0774
20,-0.0744
21,-0.089
22,-0.0912
23,-0.083
24,-0.089
25,-0.0798
26,-0.0844
27,-0.0866
28,-0.0828
29,-0.075
30,-0.0564
31,-0.0578
32,-0.0426
33,-0.0464
34,-0.05
35,-0.0308
36,-0.0414
37,-0.0538
38,-0.065
39,-0.0652
40,-0.0712
41,-0.0856
42,-0.091
43,-0.0848
44,-0.09
45,-0.0782
46,-0.0808
47,-0.077
48,-0.0732
49,-0.0778
50,-0.081
51,-0.081
52,-0.0698
53,-0.0738
54,-0.064
55,-0.0588
56,-0.0528
57,-0.053
58,-0.0572
59,-0.0698
60,-0.0634
61,-0.0704
62,-0.076
63,-0.0804
64,-0.0774
65,-0.0684
66,-0.075
67,-0.0576
68,-0.0538
69,-0.0518
70,-0.067
71,-0.0754
72,-0.0738
73,-0.0674
74,-0.0636
75,-0.0638
76,-0.0516
77,-0.0444
78,-0.043
79,-0.05
80,-0.0464
81,-0.0388
82,-0.0424
83,-0.051
84,-0.0538
85,-0.044
86,-0.072
87,-0.0692
88,-0.0654
89,-0.0554
90,-0.0448
91,-0.0362
92,-0.0304
93,-0.0228
94,-0.025
95,-0.0162
96,-0.0112
97,-0.0196
98,-0.0228
99,-0.0246
100,-0.0374
101,-0.0454
102,-0.0364
103,-0.0446
104,-0.0586
105,-0.0468
106,-0.048
107,-0.0432
108,-0.0334
109,-0.05
110,-0.0384
111,-0.0448
112,-0.0368
113,-0.0332
114,-0.0374
115,-0.0324
116,-0.0344
117,-0.0426
118,-0.0552
119,-0.0664
120,-0.0798
121,-0.0834
122,-0.0794
123,-0.0816
124,-0.091
125,-0.0936
126,-0.0868
127,-0.0908
128,-0.0974
129,-0.107
130,-0.1148
131,-0.104
132,-0.1016
133,-0.1052
134,-0.1124
135,-0.1042
136,-0.0974
137,-0.0946
138,-0.0916
139,-0.0896
140,-0.0898
141,-0.0896
142,-0.0916
143,-0.1014
144,-0.0948
145,-0.094
146,-0.0978
147,-0.113
148,-0.1004
149,-0.1014
150,-0.1196
151,-0.113
152,-0.124
153,-0.1192
154,-0.1138
155,-0.1148
156,-0.1162
157,-0.118
158,-0.1082
159,-0.1188
160,-0.1184
161,-0.1244
162,-0.13
163,-0.1224
164,-0.1176
165,-0.1144
166,-0.1024
167,-0.1072
168,-0.1068
169,-0.104
170,-0.1078
171,-0.116
172,-0.1116
173,-0.1148
174,-0.1118
175,-0.1148
176,-0.1248
177,-0.104
178,-0.1212
179,-0.1102
180,-0.1162
181,-0.112
182,-0.1198
183,-0.1236
184,-0.1198
185,-0.1246
186,-0.1266
187,-0.1328
188,-0.1462
189,-0.1242
190,-0.1378
191,-0.1224
192,-0.127
193,-0.1142
194,-0.0986
195,-0.1046
196,-0.116
197,-0.1198
198,-0.1144
199,-0.1096
200,-0.1092
201,-0.1008
202,-0.099
203,-0.1064
204,-0.1084
205,-0.0972
206,-0.1114
207,-0.1048
208,-0.1058
209,-0.1174
210,-0.1314
211,-0.1234
212,-0.1282
213,-0.1438
214,-0.1398
215,-0.1512
216,-0.1584
217,-0.1662
218,-0.162
219,-0.1674
220,-0.1736
221,-0.1808
222,-0.1768
223,-0.1824
224,-0.1918
225,-0.1914
226,-0.189
227,-0.2008
228,-0.194
229,-0.2016
230,-0.201
231,-0.195
232,-0.1998
233,-0.1872
234,-0.1874
235,-0.1918
236,-0.1868
237,-0.1782
238,-0.1796
239,-0.1974
240,-0.2014
241,-0.2128
242,-0.2166
243,-0.2256
244,-0.2278
245,-0.2218
246,-0.2142
247,-0.2128
248,-0.2274
249,-0.2258
250,-0.2248
251,-0.2278
252,-0.2414
253,-0.2394
254,-0.2388
255,-0.2424
256,-0.2402
257,-0.24
258,-0.2446
259,-0.2574
260,-0.2612
261,-0.2696
262,-0.251
263,-0.273
264,-0.2694
265,-0.2648
266,-0.262
267,-0.277
268,-0.2812
269,-0.2848
270,-0.2796
271,-0.2838
272,-0.2818
273,-0.2822
274,-0.2778
275,-0.2788
276,-0.2658
277,-0.2582
278,-0.2686
279,-0.268
280,-0.2636
281,-0.262
282,-0.2516
283,-0.2502
284,-0.2466
285,-0.2312
286,-0.236
287,-0.2586
288,-0.2528
289,-0.2546
290,-0.2504
291,-0.2438
292,-0.2408
293,-0.2524
294,-0.2574
295,-0.2486
296,-0.255
297,-0.2698
298,-0.2656
299,-0.2708
300,-0.2694
301,-0.2666
302,-0.2488
303,-0.2462
304,-0.239
305,-0.23
306,-0.2368
307,-0.2394
308,-0.2438
309,-0.2424
310,-0.245
311,-0.2502
312,-0.2676
313,-0.269
314,-0.2834
315,-0.2812
316,-0.29
317,-0.293
318,-0.2956
319,-0.2964
320,-0.282
321,-0.2742
322,-0.2878
323,-0.2842
324,-0.2972
325,-0.294
326,-0.2942
327,-0.2804
328,-0.2798
329,-0.2816
330,-0.2756
331,-0.2698
332,-0.2808
333,-0.2864
334,-0.2886
335,-0.2856
336,-0.2796
337,-0.28
338,-0.2724
339,-0.2808
340,-0.3004
341,-0.2964
342,-0.2974
343,-0.2932
344,-0.2936
345,-0.301
346,-0.3086
347,-0.291
348,-0.2916
349,-0.2912
350,-0.2984
351,-0.3024
352,-0.3078
353,-0.3106
354,-0.3094
355,-0.314
356,-0.325
357,-0.3204
358,-0.32
359,-0.3234
360,-0.3148
361,-0.3218
362,-0.3168
363,-0.313
364,-0.3242
365,-0.3284
366,-0.326
367,-0.3212
368,-0.3254
369,-0.3246
370,-0.3108
371,-0.3144
372,-0.3152
373,-0.3186
374,-0.3146
375,-0.3084
376,-0.3084
377,-0.3042
378,-0.3072
379,-0.3048
380,-0.3066
381,-0.3016
382,-0.3088
383,-0.31
384,-0.3156
385,-0.3254
386,-0.3256
387,-0.3214
388,-0.3208
389,-0.3284
390,-0.3228
391,-0.3196
392,-0.329
393,-0.332
394,-0.3414
395,-0.3316
396,-0.3378
397,-0.34
398,-0.3342
399,-0.3432
400,-0.346
401,-0.3368
402,-0.3376
403,-0.3424
404,-0.342
405,-0.3514
406,-0.35
407,-0.3714
408,-0.373
409,-0.3784
410,-0.3748
411,-0.3702
412,-0.37
413,-0.3628
414,-0.3676
415,-0.3748
416,-0.3732
417,-0.3644
418,-0.3784
419,-0.3886
420,-0.368
421,-0.374
422,-0.3714
423,-0.3744
424,-0.37
425,-0.3688
426,-0.3656
427,-0.3658
428,-0.3678
429,-0.3688
430,-0.3708
431,-0.3652
432,-0.3636
433,-0.3678
434,-0.3698
435,-0.369
436,-0.366
437,-0.359
438,-0.3636
439,-0.3694
440,-0.3696
441,-0.372
442,-0.3798
443,-0.3828
444,-0.382
445,-0.382
446,-0.3798
447,-0.3764
448,-0.3804
449,-0.3806
450,-0.379
451,-0.3786
452,-0.3792
453,-0.3714
454,-0.3722
455,-0.3784
456,-0.3754
457,-0.3782
458,-0.3774
459,-0.3844
460,-0.3862
461,-0.3926
462,-0.3892
463,-0.3864
464,-0.3868
465,-0.3728
466,-0.3682
467,-0.3536
468,-0.3366
469,-0.3438
470,-0.3428
471,-0.339
472,-0.3494
473,-0.3544
474,-0.3664
475,-0.374
476,-0.3774
477,-0.3816
478,-0.3768
479,-0.3722
480,-0.3756
481,-0.3728
482,-0.3726
483,-0.3706
484,-0.3728
485,-0.3752
486,-0.3904
487,-0.3978
488,-0.385
489,-0.3902
490,-0.382
491,-0.392
492,-0.3902
493,-0.3976
494,-0.3992
495,-0.4034
496,-0.3986
497,-0.406
498,-0.407
499,-0.3936
500,-0.386
501,-0.399
502,-0.3908
503,-0.3826
504,-0.3924
505,-0.3802
506,-0.3806
507,-0.3732
508,-0.3772
509,-0.3814
510,-0.3828
511,-0.3912
512,-0.3876
513,-0.3908
514,-0.3928
515,-0.3856
516,-0.3912
517,-0.386
518,-0.389
519,-0.387
520,-0.4006
521,-0.3948
522,-0.3942
523,-0.3898
524,-0.3916
525,-0.3834
526,-0.3768
527,-0.3764
528,-0.384
529,-0.3776
530,-0.378
531,-0.3764
532,-0.3886
533,-0.3914
534,-0.4016
535,-0.4018
536,-0.4036
537,-0.4144
538,-0.4034
539,-0.3962
540,-0.3978
541,-0.4048
542,-0.4028
543,-0.4044
544,-0.3978
545,-0.4022
546,-0.4042
547,-0.4176
548,-0.4316
549,-0.4258
550,-0.4208
551,-0.4212
552,-0.4154
553,-0.416
554,-0.4072
555,-0.412
556,-0.3966
557,-0.4004
558,-0.411
559,-0.4158
560,-0.4206
561,-0.4232
562,-0.4046
563,-0.4132
564,-0.4118
565,-0.4112
566,-0.413
567,-0.4102
568,-0.4196
569,-0.4182
570,-0.4166
571,-0.4008
572,-0.3908
573,-0.3852
574,-0.393
575,-0.3808
576,-0.3884
577,-0.3898
578,-0.3972
579,-0.3902
580,-0.3824
581,-0.3792
582,-0.3968
583,-0.398
584,-0.4
585,-0.4034
586,-0.4144
587,-0.4212
588,-0.4298
589,-0.4286
590,-0.4272
591,-0.4266
592,-0.426
593,-0.4226
594,-0.4196
595,-0.4234
596,-0.4304
597,-0.4386
598,-0.4402
599,-0.4356
600,-0.4366
601,-0.4344
602,-0.4294
603,-0.435
604,-0.4364
605,-0.426
606,-0.4132
607,-0.4202
608,-0.4098
609,-0.4108
610,-0.4362
611,-0.4258
612,-0.4212
613,-0.4162
614,-0.4166
615,-0.4138
616,-0.423
617,-0.4306
618,-0.428
619,-0.4362
620,-0.4334
621,-0.4292
622,-0.4304
623,-0.4264
624,-0.427
625,-0.431
626,-0.435
627,-0.433
628,-0.4318
629,-0.4324
630,-0.442
631,-0.428
632,-0.4286
633,-0.4292
634,-0.4204
635,-0.4228
636,-0.4218
637,-0.4456
638,-0.4522
639,-0.455
640,-0.4584
641,-0.4498
642,-0.4496
643,-0.4414
644,-0.4362
645,-0.4338
646,-0.4394
647,-0.4398
648,-0.4448
649,-0.4438
650,-0.446
651,-0.4512
652,-0.4462
653,-0.4396
654,-0.4446
655,-0.4474
656,-0.441
657,-0.4478
658,-0.4602
659,-0.4734
660,-0.4764
661,-0.4816
662,-0.4664
663,-0.4732
664,-0.4696
665,-0.466
666,-0.4566
667,-0.4492
668,-0.4506
669,-0.4598
670,-0.4566
671,-0.452
672,-0.4722
673,-0.4828
674,-0.488
675,-0.4948
676,-0.499
677,-0.4982
678,-0.5012
679,-0.4866
680,-0.4902
681,-0.4864
682,-0.505
683,-0.4968
684,-0.5016
685,-0.5006
686,-0.5006
687,-0.5062
688,-0.5072
689,-0.5164
690,-0.523
691,-0.5206
692,-0.5206
693,-0.5228
694,-0.5102
695,-0.5162
696,-0.5112
697,-0.5114
698,-0.5154
699,-0.5164
700,-0.5168
701,-0.523
702,-0.5308
703,-0.5394
704,-0.54
705,-0.5518
706,-0.5416
707,-0.5428
708,-0.5454
709,-0.5432
710,-0.5448
711,-0.5468
712,-0.5586
713,-0.5574
714,-0.5608
715,-0.558
716,-0.5734
717,-0.5656
718,-0.5586
719,-0.5506
720,-0.5482
721,-0.5486
722,-0.5408
723,-0.5504
724,-0.5508
725,-0.5504
726,-0.5488
727,-0.5528
728,-0.5464
729,-0.5452
730,-0.5554
731,-0.558
732,-0.5492
733,-0.5496
734,-0.5378
735,-0.5488
736,-0.5456
737,-0.541
738,-0.55
739,-0.5428
740,-0.5464
741,-0.5506
742,-0.5554
743,-0.5502
744,-0.5606
745,-0.563
746,-0.5594
747,-0.547
748,-0.5494
749,-0.544
750,-0.5454
751,-0.5396
752,-0.544
753,-0.5396
754,-0.5286
755,-0.522
756,-0.5096
757,-0.5118
758,-0.5218
759,-0.535
760,-0.5368
761,-0.5382
762,-0.5304
763,-0.53
764,-0.5266
765,-0.5176
766,-0.5188
767,-0.5198
768,-0.521
769,-0.5218
770,-0.5436
771,-0.5418
772,-0.541
773,-0.5426
774,-0.5356
775,-0.5412
776,-0.5458
777,-0.543
778,-0.5446
779,-0.5278
780,-0.5258
781,-0.5234
782,-0.5314
783,-0.5286
784,-0.5242
785,-0.5276
786,-0.5314
787,-0.5302
788,-0.5342
789,-0.53
790,-0.5286
791,-0.5276
792,-0.5368
793,-0.5352
794,-0.535
795,-0.5336
796,-0.5294
797,-0.518
798,-0.517
799,-0.5334
800,-0.5232
